day,avg_price,min_price,max_price,price_std,trades_count,avg_return,avg_balance
1,103.1,103.1,103.1,,1,3.09,103.1
2,100.03,97.0,103.4,1.88,100,-0.01,100.05
3,100.34,95.56,105.68,2.34,100,0.32,100.02
4,100.64,94.04,106.68,3.0,100,0.29,100.31
5,101.01,94.68,110.0,3.26,100,0.37,100.3
6,101.42,93.21,113.25,3.33,100,0.42,100.7
7,101.54,93.4,111.99,3.47,100,0.13,100.72
8,101.83,91.84,112.42,3.93,100,0.28,100.97
9,101.92,91.42,115.39,4.51,100,0.08,100.97
10,102.15,91.01,117.51,4.94,100,0.22,101.18
11,102.53,88.85,116.84,5.07,100,0.37,101.19
12,102.56,88.36,116.21,5.44,100,0.02,101.2
13,103.08,85.7,118.85,5.67,100,0.51,101.19
14,103.13,87.59,121.53,6.09,100,0.03,101.24
15,103.19,86.28,119.96,6.32,100,0.06,101.22
16,103.44,85.93,117.83,6.37,100,0.25,101.49
17,103.47,85.4,120.27,6.91,100,0.01,101.51
18,103.78,87.02,122.14,7.09,100,0.3,101.79
19,104.02,86.83,120.9,7.26,100,0.23,101.78
20,104.24,86.92,121.97,7.83,100,0.19,101.96
21,104.69,85.69,123.69,8.1,100,0.42,101.99
22,104.82,86.7,125.38,8.45,100,0.12,102.1
23,105.1,87.91,123.68,8.54,100,0.27,102.12
24,105.26,87.1,124.27,8.87,100,0.13,102.24
25,105.61,87.61,123.71,8.91,100,0.35,102.27
26,105.7,87.08,125.61,8.85,100,0.1,102.4
27,105.85,89.0,126.46,8.81,100,0.16,102.39
28,106.09,87.15,126.3,8.97,100,0.22,102.62
29,106.37,84.41,129.32,9.36,100,0.24,102.62
30,106.67,87.09,129.82,9.63,100,0.28,102.95
